,id,radius_mean,texture_mean,perimeter_mean,area_mean,smoothness_mean,compactness_mean,concavity_mean,concave points_mean,symmetry_mean,fractal_dimension_mean,radius_se,texture_se,perimeter_se,area_se,smoothness_se,compactness_se,concavity_se,concave points_se,symmetry_se,fractal_dimension_se,radius_worst,texture_worst,perimeter_worst,area_worst,smoothness_worst,compactness_worst,concavity_worst,concave points_worst,symmetry_worst,fractal_dimension_worst
id,1.5630146826823346e+16,32878829.131470494,53648067.403233215,222248990.25605252,4262946118.3902836,-22802.05338286831,631.8839235173974,499127.7212823795,214217.73928645256,-75792.61585725058,-46351.36598671129,4959431.075863687,-519061.82121116796,34713646.02571308,1010873753.8148516,36329.15809240526,76034.91698918625,208466.49667093297,60762.68767365896,-17885.477844682217,8510.280511762767,49793811.770204745,49731063.501308285,336021413.8088763,7629680858.252027,29510.163780573763,-58383.41334202622,605181.617857377,289052.8098534562,-342061.6392123073,-67437.5086218504
radius_mean,32878829.131470494,12.418920129526722,4.907581563992921,85.44714165573404,1224.483409346457,0.008454459829791577,0.09419705682504516,0.19012758202583513,0.11247511634117184,0.014273172941471318,-0.007753706290904476,0.6636503248920146,-0.18918860029734644,4.803549731106278,117.96816160540794,-0.0023553363336252134,0.01300051421998688,0.020658827996279615,0.008179563063810366,-0.0030389817035137013,-0.000397624857644063,16.513749453331148,6.433100019276468,114.28857022658357,1888.227223416731,0.00962462514681675,0.229249204282934,0.3873864402337527,0.17239273864427643,0.03574575801969108,0.0004497350604594193
texture_mean,53648067.403233215,4.907581563992921,18.49890867905146,34.43975916668729,485.9937866562292,-0.0014147787742270867,0.05376680580428971,0.10369234400732999,0.04897692677671476,0.008418875655956826,-0.0023211582359711877,0.32903739332966164,0.9166950716292482,2.449448772615039,50.84086520390355,8.5409904545904e-05,0.014786598675647914,0.01860393001455791,0.004348379643338944,0.00032450695379217324,0.0006197726369248,7.329267003453056,24.110148494084008,51.74593317346964,841.2838320874278,0.007611069751417115,0.1880100264239214,0.27011008173707896,0.08349085375816852,0.027941994919428694,0.009260128808881407
perimeter_mean,222248990.25605252,85.44714165573404,34.43975916668729,590.4404795217704,8435.772345082802,0.07083606523707268,0.7147141250727121,1.3872336152829214,0.8023603752468812,0.12192158278979676,-0.04485887942708978,4.661401016955867,-1.1629883391111167,34.05302778094136,823.4927552878474,-0.014788176428872002,0.10911124052176416,0.16729623525702367,0.06105470104823139,-0.016396426207177166,-0.000355136526185675,113.85806278942545,45.25811333232258,792.3282075122528,13026.14835866296,0.08352552751181956,1.7424779080531079,2.8585055388306646,1.2318480871527449,0.2842997457115275,0.022390522182170358
area_mean,4262946118.3902836,1224.483409346457,485.9937866562292,8435.772345082802,123843.55431768112,0.8761781263088194,9.264930788911856,19.24492382628181,11.241958155817594,1.4595958865318446,-0.7034263658784874,71.49094474779699,-12.867167673859507,517.0099953824043,12808.517580264674,-0.17622097699076714,1.3397252798605783,2.2059522915692535,0.8084601830104086,-0.2108964129359639,-0.01851853652469741,1637.5213411563404,621.8249344785762,11341.789807250801,192192.55763273843,0.9925135462728036,21.616602444141563,37.63441536795156,16.70178940014759,3.1258093284177826,0.023756225469689734
smoothness_mean,-22802.05338286831,0.008454459829791577,-0.0014147787742270867,0.07083606523707268,0.8761781263088194,0.0001977997002729028,0.0004895739152157231,0.0005852427742244177,0.00030216706011736063,0.00021505451250340357,5.806858676483331e-05,0.0011757704638573978,0.0005307282595980098,0.00841955814000656,0.15774210834039828,1.4035482752419617e-05,8.032999281300279e-05,0.00010545405603060718,3.303491515504716e-05,2.3341890091895838e-05,1.0554332856305228e-05,0.014486911742307974,0.003118109585014481,0.11287947254573136,1.6552993005272412,0.0002586042664171762,0.0010454784278045247,0.0012761236357617452,0.0004650567623138877,0.0003430934082898092,0.0001268343358613456
compactness_mean,631.8839235173974,0.09419705682504516,0.05376680580428971,0.7147141250727121,9.264930788911856,0.0004895739152157231,0.0027891874004381295,0.00371813492178018,0.0017032327868456213,0.0008725180552055743,0.00021081310182832495,0.007285822094451595,0.0013461349121141612,0.05861194779019902,1.094708465872732,2.1454574457412315e-05,0.0006986685451976225,0.0009095231863923363,0.00020929372632611572,0.00010040085231107205,7.089583392576547e-05,0.1366429049713173,0.08054412016726901,1.0474127632410457,15.323436351141117,0.0006819541774425111,0.007194331040273581,0.008993739991372096,0.002831267521681354,0.0016670997423946135,0.0006556701733140052
concavity_mean,499127.7212823795,0.19012758202583513,0.10369234400732999,1.3872336152829214,19.24492382628181,0.0005852427742244177,0.00371813492178018,0.00635524790042313,0.002850189878852442,0.0010941874979282283,0.00018955877365582993,0.013970163011551929,0.0033518774917414744,0.10644301428091013,2.239119463005086,2.3592233582728538e-05,0.0009569146024740324,0.0016634912603434202,0.0003360914217708912,0.0001173069211037167,9.477741911368873e-05,0.26518099390245026,0.14693420266723808,1.954349919975504,30.68240508785536,0.0008169444849712215,0.00946943910202395,0.014703942204681608,0.004513478833550511,0.002019502736214542,0.0007414170543884595
concave points_mean,214217.73928645256,0.11247511634117184,0.04897692677671476,0.8023603752468812,11.241958155817594,0.00030216706011736063,0.0017032327868456213,0.002850189878852442,0.0015056607691635436,0.0004919825707136935,4.5729047215463244e-05,0.0075113812581326265,0.0004597817707140025,0.05575311793588764,1.2185014729162602,3.221782927377534e-06,0.0003407900750818245,0.0005143985899999005,0.00014739796683032068,3.058459749507414e-05,2.644743206704064e-05,0.15572069392648952,0.06981902380365232,1.1160161135199822,17.886880869894984,0.00040112255191319723,0.00407487369171013,0.00609083614590473,0.0023214438172015394,0.0009020240748725217,0.0002583682495900889
symmetry_mean,-75792.61585725058,0.014273172941471318,0.008418875655956826,0.12192158278979676,1.4595958865318446,0.00021505451250340357,0.0008725180552055743,0.0010941874979282283,0.0004919825707136935,0.0007515428211713162,9.289106361543601e-05,0.0023063890556696944,0.0019365500693086467,0.01739835050214733,0.2793139825988886,1.5418755708371498e-05,0.00020700928523385481,0.0002835338492159768,6.652788217375433e-05,0.00010178181176638037,2.4067811485742225e-05,0.024608898448600206,0.015274209055298407,0.2018957857651179,2.7657250948662084,0.00026707068044072867,0.0020410378934039206,0.002480573932372707,0.0007753965999003688,0.0011869410561523802,0.000217074597242506
