,0
id,125020585.61222365
radius_mean,3.5240488262120775
texture_mean,4.301035768166949
perimeter_mean,24.298981038754906
area_mean,351.914129181653
smoothness_mean,0.01406412813767362
compactness_mean,0.052812757932512194
concavity_mean,0.07971980870789348
concave points_mean,0.038802844859153605
symmetry_mean,0.027414281336035715
fractal_dimension_mean,0.007060362795084459
radius_se,0.2773127329861039
texture_se,0.5516483926172023
perimeter_se,2.0218545540421076
area_se,45.49100551613181
smoothness_se,0.0030025179438390656
compactness_se,0.017908179325677388
concavity_se,0.03018606032298841
concave points_se,0.006170285174046869
symmetry_se,0.008266371528798399
fractal_dimension_se,0.002646070967089195
radius_worst,4.833241580469323
texture_worst,6.146257623038319
perimeter_worst,33.602542269036356
area_worst,569.356992669949
smoothness_worst,0.022832429404835465
compactness_worst,0.157336488913742
concavity_worst,0.2086242806081323
concave points_worst,0.06573234119594207
symmetry_worst,0.061867467537518685
fractal_dimension_worst,0.018061267348893986
